No,Kabupaten/Kota,Nama Destinasi
538,Kabupaten Jombang,Desa Wisata Galengdowo
539,Kabupaten Jombang,Desa Wisata Wonosalam
540,Kabupaten Jombang,Desa Wisata Ngampungan
541,Kabupaten Jombang,Desa Wisata Wonomerto
542,Kota Kediri,Goa Selomangleng
543,Kota Kediri,Kolam Renang Tirtoyoso
544,Kota Kediri,Pemandian Pagora
545,Kota Kediri,Sumber Banteng
546,Kota Kediri,Suya Taman Wisata
547,Kota Kediri,Tirta Indah
548,Kota Kediri,Museum Airlangga
549,Kota Kediri,Kampung Tenun Ikat
550,Kota Kediri,Wisata Edukasi Kampung Tahu
551,Kota Kediri,Kampung Jamu
552,Kabupaten Kediri,Agrowisata Sepawon
553,Kabupaten Kediri,Air Terjun Nglayangan
554,Kabupaten Kediri,Bukit Dhoho Indah
555,Kabupaten Kediri,Gunung Kelud
556,Kabupaten Kediri,Sumber Sugih Waras
557,Kabupaten Kediri,Wisata Sumber Jembangan
558,Kabupaten Kediri,Wana Wisata Sumber Podang
559,Kabupaten Kediri,Wana Wisata Ubalan
560,Kabupaten Kediri,B. Gerak Waru Turi
561,Kabupaten Kediri,Gumul Paradise Island
562,Kabupaten Kediri,Gronjong Wariti
563,Kabupaten Kediri,Indian Village
564,Kabupaten Kediri,Kampung Anggrek SSP
565,Kabupaten Kediri,Kampung Inggris Pare
566,Kabupaten Kediri,Kampung Labu
567,Kabupaten Kediri,Kampung Luwak
568,Kabupaten Kediri,Kawasan Sri Aji Joyoboyo
569,Kabupaten Kediri,Kawasan Wisata Besuki
570,Kabupaten Kediri,Kawasan Gereja Puh Sarang
571,Kabupaten Kediri,Monumen Simpang Lima Gumul
572,Kabupaten Kediri,Kawasan Wisata Surowono
573,Kabupaten Kediri,Kediri Waterpark
574,Kabupaten Kediri,Korea Fantasy
575,Kabupaten Kediri,Melta waterland Kediri
576,Kabupaten Kediri,Taman Ria Corah
577,Kabupaten Kediri,Wisata Alaska Alas Karetan
578,Kabupaten Kediri,Wisata Ongakan
579,Kabupaten Kediri,Wisata Pancar Wonotrto
580,Kabupaten Kediri,Arca Totok Kerot
581,Kabupaten Kediri,Candi Tegowangi
582,Kabupaten Kediri,Ndalem Pojok Situs Bungkarno Kediri
583,Kabupaten Kediri,Prasasti Tangkilan
584,Kabupaten Kediri,Situs Artefak Brumbung
585,Kabupaten Kediri,Situs Adan- Adan
586,Kabupaten Kediri,Situs Calon Arang
587,Kabupaten Kediri,Situs Candi Dorok
588,Kabupaten Kediri,Situs Candi Surowono
589,Kabupaten Kediri,Situs Gambyok
590,Kabupaten Kediri,Situs Namba'an
591,Kabupaten Kediri,Situs Prasasti Pohsarang
592,Kabupaten Kediri,Situs Semen
593,Kabupaten Kediri,Situs Tondowongso
594,Kabupaten Kediri,Situs Tunglur
595,Kabupaten Kediri,Desa Wisata Jambu
596,Kabupaten Kediri,Desa Wisata Sugih Waras
597,Kabupaten Kediri,Desa Wisata Medowo
598,Kabupaten Kediri,Desa Wisata JOHO SUMBER PODANG
599,Kabupaten Kediri,Desa Wisata Jugo
600,Kabupaten Kediri,Desa Wisata Canggu
601,Kabupaten Kediri,Desa Wisata Mejono
602,Kabupaten Kediri,Desa Wisata Dukuh
603,Kabupaten Kediri,Desa Wisata Ngadi
604,Kabupaten Kediri,Desa Wisata Tawang
605,Kabupaten Kediri,Desa Wisata Pojok
606,Kabupaten Kediri,Desa Wisata Pranggang
607,Kabupaten Kediri,Desa Wisata Paron
608,Kabupaten Kediri,Desa Wisata Puncu
609,Kabupaten Kediri,Desa Wisata Kawedusan
610,Kabupaten Kediri,Desa Wisata Menang
611,Kabupaten Kediri,Desa Wisata Tempurejo
612,Kabupaten Kediri,Desa Wisata Kedung Malang
613,Kabupaten Kediri,Desa Wisata Sempu
614,Kabupaten Kediri,Kampung Inggris
615,Kabupaten Kediri,Desa Wisata Gayam
616,Kabupaten Lamongan,Agrowisata Besur
617,Kabupaten Lamongan,Goa Maharani Mazoola
618,Kabupaten Lamongan,Pantai Kutang
619,Kabupaten Lamongan,Waduk Gondang
620,Kabupaten Lamongan,Wisata Bahari Lamongan
621,Kabupaten Lamongan,pemandian air panas Brumbun
622,Kabupaten Lamongan,Obyek Wisata Trinil
623,Kabupaten Lamongan,Monumen Vand Der Wijk
624,Kabupaten Lamongan,Wego
625,Kabupaten Lamongan,Makam Maulana Ishaq
626,Kabupaten Lamongan,Makam Nyi Andong Sari
627,Kabupaten Lamongan,Makam Sendang Duwur
628,Kabupaten Lamongan,Makam Sunan Drajad
629,Kabupaten Lamongan,Museum Drajat
630,Kabupaten Lamongan,Desa Wisata Sendang Duwur
631,Kabupaten Lamongan,Pantai Kutang
632,Kabupaten Lamongan,Bukit Suru Lembor
633,Kabupaten Lumajang,Simbar Semeru
634,Kabupaten Lumajang,Air Terjun Kapas Biru
635,Kabupaten Lumajang,Air Terjun Kabut Pelangi
636,Kabupaten Lumajang,Air Terjun Trap Sewu
637,Kabupaten Lumajang,Air Terjun Cuban Telu
638,Kabupaten Lumajang,Air Terjun Watu Lapis
639,Kabupaten Lumajang,Pemandian Alkautsar
640,Kabupaten Lumajang,Taman Bunga You & I Sakura
641,Kabupaten Lumajang,Makam Mbah Drajid
642,Kabupaten Lumajang,Gunung Wayang
643,Kabupaten Lumajang,Pemandian Alam Semeru
644,Kabupaten Lumajang,Wisata Alam Hutan Bambu
645,Kabupaten Lumajang,Kawasan Pantai Dampar Indah
646,Kabupaten Lumajang,Kawasan Pendakian Gunung Semeru
647,Kabupaten Lumajang,Pantai Bambang
648,Kabupaten Lumajang,Candi Gedong Putri
649,Kabupaten Lumajang,Sumber Mrutu
650,Kabupaten Lumajang,Pantai Watu Pecak
651,Kabupaten Lumajang,Pantai Mbah Drajid Wotgalih
652,Kabupaten Lumajang,Sumber Takir Park
653,Kabupaten Lumajang,Puncak B29 Argosari
654,Kabupaten Lumajang,Mini Tubing Tumpak Selo
655,Kabupaten Lumajang,Ranupani
656,Kabupaten Lumajang,Ranu Klakah
657,Kabupaten Lumajang,Panorama Air Terjun Tumpak Sewu
658,Kabupaten Lumajang,Kawasan Agrowisata Kebun Teh Kertowono
659,Kabupaten Lumajang,Kolam Renang Veteran
660,Kabupaten Lumajang,Pure Agung Amertha Buana
661,Kabupaten Lumajang,Pemandian Alam Tirtosari View
662,Kabupaten Lumajang,Pemandian Joyokarto
663,Kabupaten Lumajang,Pemandian Kayu Batu
664,Kabupaten Lumajang,Pemandian Alam Selokambang
665,Kabupaten Lumajang,Pemandian Surojoyo
666,Kabupaten Lumajang,Pemandian Telaga Semeru
667,Kabupaten Lumajang,Pemandian Tirtowono
668,Kabupaten Lumajang,Taman Wisata Tambuh Raya Idaman
669,Kabupaten Lumajang,Bumi Perkemahan Glagah Arum
670,Kabupaten Lumajang,Water Park
671,Kabupaten Lumajang,Dalan Tegalan Destinasi Wisata dan Budaya
672,Kabupaten Lumajang,Ranu Pakis
673,Kabupaten Lumajang,Museum Daerah Kabupaten Lumajang
674,Kabupaten Lumajang,Pura Mandara Giri Semeru Agung
675,Kabupaten Lumajang,Situs Biting
676,Kabupaten Lumajang,Pendakian Gunung Lemongan
677,Kabupaten Lumajang,Desa Argosari
678,Kabupaten Lumajang,Desa Banjarwaru
679,Kabupaten Lumajang,Desa Kandangtepus
680,Kabupaten Lumajang,View Point Bantengan
681,Kabupaten Lumajang,Desa Selok Awar-Awar
682,Kabupaten Lumajang,Desa Sumbermujur
683,Kabupaten Lumajang,Desa Burno
684,Kabupaten Lumajang,Desa Ranupani
685,Kabupaten Lumajang,Desa Gucialit
686,Kabupaten Lumajang,Sriti Camp Ground
687,Kabupaten Lumajang,Desa Senduro
688,Kabupaten Lumajang,Ranu Regulo
689,Kabupaten Lumajang,Desa Sidomulyo
690,Kabupaten Lumajang,Desa Ranu Bedali
691,Kabupaten Lumajang,Desa Pagowan
692,Kabupaten Lumajang,Desa Condro
693,Kabupaten Lumajang,Desa Petahunan
694,Kabupaten Lumajang,Desa Wotgalih
695,Kabupaten Lumajang,Desa Pundungsari
696,Kabupaten Lumajang,Kampung Wisata Ditotrunan
697,Kabupaten Lumajang,Desa Pronojiwo
698,Kabupaten Lumajang,Desa Supit Urang
699,Kabupaten Lumajang,Desa Oro Oro Ombo
700,Kabupaten Lumajang,Desa Taman Ayu
701,Kabupaten Lumajang,Desa Sumberwuluh
702,Kabupaten Lumajang,Panorama Grojogan Sewu
703,Kabupaten Lumajang,Desa Pandansari
704,Kabupaten Lumajang,Desa Kandangan
705,Kabupaten Lumajang,Desa Sarikemuning
706,Kabupaten Lumajang,Desa Wonocempoko Ayu
707,Kabupaten Lumajang,Desa Penanggal
708,Kabupaten Lumajang,Pemandian Randu Pinus
709,Kabupaten Lumajang,Desa Pasrujambe
710,Kota Madiun,Perum Perhutani
711,Kota Madiun,ARBORETUM
712,Kota Madiun,Bluder Cokro
713,Kota Madiun,INKA
714,Kota Madiun,Taman Olahraga Lapangan Gulun Madiun
715,Kota Madiun,Pahlawan Street Center dan Pendistrian Balai Kota Madiun
716,Kota Madiun,Suncity Waterpark
717,Kota Madiun,Stadion Wilis / Gor Wilis
718,Kota Madiun,Taman Lalu Lintas Bantaran Kali Madiun
719,Kota Madiun,Taman Wisata Trembesi
720,Kota Madiun,THR Retno Dumilah Park
721,Kota Madiun,Makam Kuncen
722,Kota Madiun,Masjid Kuno Kuncen
723,Kota Madiun,Masjid Kuno Taman
724,Kota Madiun,Makam Kuno Taman
725,Kabupaten Madiun,Padepokan SH Terate
726,Kabupaten Madiun,Air Terjun Kerto Embo
727,Kabupaten Madiun,Waduk Bening Widas
728,Kabupaten Madiun,Waduk Saradan
729,Kabupaten Madiun,Wana Wisata Grape
730,Kabupaten Madiun,Watu Rumpuk
731,Kabupaten Madiun,Papringan Kali Kerto
732,Kabupaten Madiun,Kampung Ceria Pule
733,Kabupaten Madiun,Lembah Wilis
734,Kabupaten Madiun,Madiun Umbul Square
735,Kabupaten Madiun,Pancur Pitu
736,Kabupaten Madiun,Pasar Pundensari
737,Kabupaten Madiun,Randu Dampit
738,Kabupaten Madiun,Selo Gedong
739,Kabupaten Madiun,Taman Gligi
740,Kabupaten Madiun,Tambak lare
741,Kabupaten Madiun,Taman Raden Sekar Park
742,Kabupaten Madiun,Waterpark Batok
743,Kabupaten Madiun,Wisata Nongko Ijo
744,Kabupaten Madiun,Peken Lawas Candimulyo
745,Kabupaten Madiun,Kresek
746,Kabupaten Madiun,Makam Kuncen Caruban
747,Kabupaten Madiun,Situs Wonorejo
748,Kabupaten Madiun,Desa wisata Brumbun
749,Kabupaten Madiun,Desa Mendak
750,Kabupaten Madiun,Desa Kepel
751,Kabupaten Madiun,Desa Durenan
752,Kabupaten Madiun,Dusun Seweru
753,Kabupaten Madiun,Desa Gunungsari
754,Kabupaten Madiun,Desa Pule
755,Kabupaten Madiun,Desa Candimulyo
756,Kabupaten Madiun,Desa Kresek
757,Kabupaten Madiun,Desa Nglambangan
758,Kabupaten Madiun,Desa Batok
759,Kabupaten Madiun,Desa Segulung
760,Kabupaten Madiun,Desa Singgahan
761,Kabupaten Madiun,Desa Tambakmas
762,Kabupaten Madiun,Desa Kaliabu
763,Kabupaten Magetan,Air Terjun Tirtosari
764,Kabupaten Magetan,Air Terjun Waton Jamas Ndak Tuo
765,Kabupaten Magetan,Dam Jati
766,Kabupaten Magetan,Cemoro Sewu
767,Kabupaten Magetan,Telaga Sarangan
768,Kabupaten Magetan,Telaga Wahyu
769,Kabupaten Magetan,Wisata Sumber Dodol
770,Kabupaten Magetan,Buper Sarangan
771,Kabupaten Magetan,Kampung Batik Sidomukti
772,Kabupaten Magetan,Kampung Susu Singolangu
773,Kabupaten Magetan,Kosala Tirta
774,Kabupaten Magetan,Lawu Green Forest
775,Kabupaten Magetan,Mbah Djoe Resort
776,Kabupaten Magetan,Magetan Green Garden
777,Kabupaten Magetan,Magetan Park
778,Kabupaten Magetan,Mojosemi Forest Park
779,Kabupaten Magetan,Omah Jowo
780,Kabupaten Magetan,Perkemahan Mojosemi
781,Kabupaten Magetan,Randugede Hidden Paradise
782,Kabupaten Magetan,Sendang Bening
783,Kabupaten Magetan,Taman Bunga Refugia
784,Kabupaten Magetan,Taman Geni Langit
785,Kabupaten Magetan,Taman Wisata Jabung
786,Kabupaten Magetan,Taman Wisata Ujung Kulon
787,Kabupaten Magetan,Tirto Gumarang
788,Kabupaten Magetan,Candi Simbatan Wetan
789,Kabupaten Magetan,Desa Wisata Dam Jati Gogata
790,Kabupaten Magetan,Desa Wisata Geni Langit
791,Kabupaten Magetan,Desa Wisata Jabung
792,Kabupaten Magetan,Desa Wisata Ngancar
793,Kabupaten Magetan,Desa Wisata Tapen
794,Kabupaten Magetan,Desa Wisata Janggan
795,Kabupaten Magetan,Desa Wisata Sidomukti
796,Kabupaten Magetan,Desa Wisata Temboro
797,Kabupaten Magetan,Desa Wisata Purwodadi
798,Kabupaten Magetan,Desa Wisata Pojoksari
799,Kabupaten Magetan,Desa Wisata Sarangan
800,Kabupaten Magetan,Desa Wisata Sumber Dodol
801,Kabupaten Magetan,Desa Wisata Pojok Magetan
802,Kabupaten Magetan,Desa Wisata Singolangu
803,Kabupaten Magetan,Desa Wisata Sukomoro
804,Kabupaten Magetan,Desa Wisata Maospati
805,Kabupaten Magetan,Desa Wisata Simbatan
806,Kabupaten Magetan,Desa Wisata Gandek Kawedanan
807,Kabupaten Magetan,Desa Wisata Tanjungsari
808,Kabupaten Magetan,Desa Wisata Soco
809,Kabupaten Magetan,Desa Wisata Gandu Karangrejo
810,Kabupaten Magetan,Desa Wisata Candirejo
811,Kabupaten Magetan,Desa Wisata Gunung Bancak Kawedanan
812,Kabupaten Magetan,Desa Wisata Clerek Driyorejo
813,Kabupaten Magetan,Desa Wisata Kediren Lembeyan
814,Kabupaten Magetan,Desa Wisata Sumbergangging Sidomulyo Sidorejo
815,Kabupaten Magetan,Desa Wisata Wonomulyo Genilangit
816,Kabupaten Magetan,Desa Wisata Bukit Sembrini Banjarpanjang Ngariboyo
817,Kota Malang,Alun alun Kota Malang
818,Kota Malang,Alun alun Tugu Balaikota
819,Kota Malang,Club House Istana Dieng
820,Kota Malang,Fantasy Land Tlogomas
821,Kota Malang,Hawai Waterpark
822,Kota Malang,Kampung Biru Arema
823,Kota Malang,Koridor Kajoetangan
824,Kota Malang,Kampung Budaya Polowijen
825,Kota Malang,Idjen Boulevard
826,Kota Malang,Kampung Keramik Dinoyo
827,Kota Malang,Kampung Sanan Tempe
828,Kota Malang,Kampung Terapi Hjau
829,Kota Malang,Kampung Tridi
830,Kota Malang,Kampung Warna-Warni
831,Kota Malang,Wisata Gantangan Burung
832,Kota Malang,Eco Club Citra Garden
833,Kota Malang,Malang Night Market
834,Kota Malang,Perpustakaan Kota Malang
835,Kota Malang,Batik Soendari Malang
836,Kota Malang,Taman Cerdas Trunojoyo
837,Kota Malang,Taman Kunang-Kunang
838,Kota Malang,Taman Merbabu
839,Kota Malang,TamanSingha Merjosari
840,Kota Malang,Pasar Bunga dan Burung Splendid
841,Kota Malang,Kampoeng Qur'an Wijaya Kusuma
842,Kota Malang,Taman Rekreasi Telogo Mas
843,Kota Malang,Taman Slamet
844,Kota Malang,Trans Studio Mini Malang
845,Kota Malang,Wisata Belanja Tugu
846,Kota Malang,Wisata Belanja Velodrome
847,Kota Malang,Museum Brawijaya
848,Kota Malang,Museum Empu Purwa
849,Kota Malang,Kampung Karang Besuki
850,Kota Malang,Museum Musik Indonesia
851,Kota Malang,Kampung Wisata Jodipan
852,Kota Malang,Kampung Putih
853,Kota Malang,kampung keramat kasin
854,Kota Malang,Kampung Gribig Religius
855,Kota Malang,Kampung Heritage Kajoetangan
856,Kota Malang,Kampung Gerabah Penanggungan
857,Kota Malang,Kampung Biru Arema
858,Kota Malang,Kawasan Wisata Panawidjen
859,Kota Malang,Kampung Lampion Wangi
860,Kota Malang,Kampung Glintung Water Street
861,Kota Malang,Kampung Rolakku Indah
862,Kota Malang,Kampung Bamboo Mewek Park
863,Kota Malang,Koeboeran Londo
864,Kota Malang,Kampung Terapi Hijau
865,Kota Malang,Kampung Satrio Turonggo Jati
866,Kota Malang,Kampung seribu Topeng
867,Kota Malang,Kampung Nila Slilir
868,Kabupaten Malang,Wisata Agro Wonosari (Kebun Teh Wonosari)
869,Kabupaten Malang,Pantai Teluk Kletekan
870,Kabupaten Malang,Pemandian Banyu Biru/Sumber Biru
871,Kabupaten Malang,Bumi Perkemahan Bedengan
872,Kabupaten Malang,Bromo Tengger Semeru
873,Kabupaten Malang,Budug Asu
874,Kabupaten Malang,Umbulan Tanaka Waterfall
875,Kabupaten Malang,Coban Baung
876,Kabupaten Malang,Coban Bidadari
877,Kabupaten Malang,Coban Cinde
878,Kabupaten Malang,Coban Glothak
879,Kabupaten Malang,Coban Grojokan Sewu
880,Kabupaten Malang,Coban Jahe
881,Kabupaten Malang,Caban Kembar
882,Kabupaten Malang,Coban Kethak
883,Kabupaten Malang,Coban Parang Tejo
884,Kabupaten Malang,Coban Pelangi
885,Kabupaten Malang,Coban Rondo
886,Kabupaten Malang,Alas Pujon Coban Sadang
887,Kabupaten Malang,Coban Sewu
888,Kabupaten Malang,Coban Sumber Pitu Tumpang
889,Kabupaten Malang,Coban Tundo
890,Kabupaten Malang,Clungup Mangrove Conservation Tiga Warna
891,Kabupaten Malang,Gunung Sari Sunset
892,Kabupaten Malang,Hutan Pinus Semeru
893,Kabupaten Malang,Kasembon Park (K-Park)
894,Kabupaten Malang,Pantai Jonggring Saloko
895,Kabupaten Malang,Pantai Perawan Sidoasri
896,Kabupaten Malang,Pantai Clungup
897,Kabupaten Malang,Pantai Bajul Mati
898,Kabupaten Malang,Pantai Balekambang
899,Kabupaten Malang,Pantai Bantol
900,Kabupaten Malang,Pantai Banyu Anjlok
901,Kabupaten Malang,Pantai Batu Bengkung
902,Kabupaten Malang,Pantai Goa Cina
903,Kabupaten Malang,Pantai Jembatan Panjang
904,Kabupaten Malang,Pantai Kondang Merak
905,Kabupaten Malang,Pantai Lenggoksono
906,Kabupaten Malang,Pantai Modangan
907,Kabupaten Malang,Pantai Nganteb
908,Kabupaten Malang,Pantai Ngliyep
909,Kabupaten Malang,Pantai Ngudel
910,Kabupaten Malang,Panta Parang Dowo
911,Kabupaten Malang,Pantai Pasir Panjang
912,Kabupaten Malang,Pantai Pasir putih
913,Kabupaten Malang,Pantai Regent
914,Kabupaten Malang,Pantai Bangsong
915,Kabupaten Malang,Pantai Selok
916,Kabupaten Malang,Pantai Sendang Biru
917,Kabupaten Malang,Pantai Sendiki
918,Kabupaten Malang,Pantai Tamban
919,Kabupaten Malang,Pantai Tiga Warna
920,Kabupaten Malang,Pantai Ungapan
921,Kabupaten Malang,Pantai Watu Leter
922,Kabupaten Malang,Pantai Wonogoro
923,Kabupaten Malang,Sumber Jenon
924,Kabupaten Malang,Sumber Nagan
925,Kabupaten Malang,Sumber Sirah
926,Kabupaten Malang,Waduk Karangkates
927,Kabupaten Malang,Bendungan Selorejo/ Waduk Selorejo
928,Kabupaten Malang,Flora Wisata San Terra
929,Kabupaten Malang,Hawai Waterpark
930,Kabupaten Malang,Kampung Enem
931,Kabupaten Malang,Bonderland Waterpark
932,Kabupaten Malang,Lembah Bromo (Ledok Amprong)
933,Kabupaten Malang,Ledok Ombo
934,Kabupaten Malang,Lembah Indah
935,Kabupaten Malang,Lembah Tumpang
936,Kabupaten Malang,Pemandian Desa Wisata Sri
937,Kabupaten Malang,Petirtaan Ken Dedes Watugede
938,Kabupaten Malang,Pemandian Metro
939,Kabupaten Malang,Pemandian Ranu Sosro
940,Kabupaten Malang,Pemandian Sumber Maron
941,Kabupaten Malang,Pemandian Sumber Taman
942,Kabupaten Malang,Pemandian Sumber Waras
943,Kabupaten Malang,Petik Madu
944,Kabupaten Malang,Precet Forest Park
945,Kabupaten Malang,Rest Area Ngantang
946,Kabupaten Malang,Candi Songgoriti
947,Kabupaten Malang,Wisata Religi Sumur Pitu
948,Kabupaten Malang,Sumber Suko Forest Park
949,Kabupaten Malang,Taman kelinci
950,Kabupaten Malang,Taman Kemesraan
951,Kabupaten Malang,Taman Wisata Air Wendit
952,Kabupaten Malang,Taman Wisata Selo Agung
953,Kabupaten Malang,Pantai Gunung Kombang/Wisata Gunung Kombang
954,Kabupaten Malang,Taman Wisata Lembah Dieng
955,Kabupaten Malang,Taman Rekreasi Sengkaling
956,Kabupaten Malang,UFO Park & Capsule
957,Kabupaten Malang,Waduk Selorejo
958,Kabupaten Malang,Waduk Sutami Lahor
959,Kabupaten Malang,Wisata Blayu Lesti Lestari
960,Kabupaten Malang,Wisata Agro
961,Kabupaten Malang,Arca Dwarapala
962,Kabupaten Malang,Arca Ganesha
963,Kabupaten Malang,Candi Badut
964,Kabupaten Malang,Candi Jago
965,Kabupaten Malang,Candi Jawar
966,Kabupaten Malang,Candi Kidal
967,Kabupaten Malang,Candi Singosari
968,Kabupaten Malang,Stupa Sumberawan
969,Kabupaten Malang,Candi Watu Gede
970,Kabupaten Malang,Wisata Religi Keraton Gunung Kawi
971,Kabupaten Malang,Makam Seco Setuhu
972,Kabupaten Malang,Masjid Tiban
973,Kabupaten Malang,Pertirtaan Tlogosari
974,Kabupaten Malang,Pesarean Gunung Kawi
975,Kabupaten Malang,Petilasan Watu Gilang
976,Kabupaten Malang,Makam Mbah Bergas
977,Kabupaten Malang,Desa Wisata Gubugklakah
978,Kabupaten Malang,Desa Wisata Pujon Kidul
979,Kabupaten Malang,Desa Wisata Sanankerto Boonpring
980,Kabupaten Malang,Desa Wisata Bowele Purwodadi
981,Kabupaten Malang,Desa Wisata Tambakrejo
982,Kabupaten Malang,Desa Wisata Ngadirejo
983,Kabupaten Malang,Desa Wisata Sambang Sedulor Pujiharjo
984,Kabupaten Malang,Desa Adat Ngadas
985,Kabupaten Malang,Desa Wisata Poncokusumo
986,Kabupaten Malang,Desa Wisata PKK Waturejo
987,Kabupaten Malang,Desa Wisata Ampelgading
988,Kabupaten Malang,Desa Wisata Wonosari
989,Kabupaten Malang,Desa Wisata Selorejo
990,Kabupaten Malang,Desa Wisata Kampung Ratu
991,Kabupaten Malang,Desa Wisata Sumber Ngepoh
992,Kabupaten Malang,Desa Wisata Jeru
993,Kabupaten Malang,Desa Wisata Sunny Mulyorejo
994,Kabupaten Malang,Kampung Ekowisata Bendosari
995,Kabupaten Malang,Desa Wisata Pramuka Lebakharjo
996,Kabupaten Malang,Desa Wisata Paralayang Sumberoto
997,Kabupaten Malang,Desa Wisata Jambuwer
998,Kabupaten Malang,Desa Wisata Kaki Langit Taji
999,Kota Mojokerto,Kawasan Jogging Track
1000,Kota Mojokerto,Kolam Renang Royal Regency
1001,Kota Mojokerto,Kolam Renang Royal Waterpark
1002,Kota Mojokerto,Mojokerto Fantastik Park
1003,Kota Mojokerto,Pemandian Sekarsari
1004,Kota Mojokerto,SDN Purwotengah 1 & 2
1005,Kota Mojokerto,SMPN 1 Kota Mojokerto
1006,Kota Mojokerto,SMPN 2 Kota Mojokerto
1007,Kota Mojokerto,Sungai Telusur
1008,Kota Mojokerto,Sunrise Mall
1009,Kota Mojokerto,TPA Randegan
1010,Kota Mojokerto,Villa Royal Waterpark
1011,Kota Mojokerto,Kawasan Benteng Pancasila
1012,Kota Mojokerto,Klenteng Hok San Kiong
1013,Kota Mojokerto,Makam Pakuncen Mbah Jimat
1014,Kota Mojokerto,Museum Gubug Wayang
1015,Kabupaten Mojokerto,Air Terjun Dlundung
1016,Kabupaten Mojokerto,Coban Canggu
1017,Kabupaten Mojokerto,Ekowisata Tanjungan
1018,Kabupaten Mojokerto,Wana Wisata Padusan Pacet
1019,Kabupaten Mojokerto,Pemandian Air Panas Padusan
1020,Kabupaten Mojokerto,Pemandian Ubalan Pacet
1021,Kabupaten Mojokerto,Candi Bajang Ratu
1022,Kabupaten Mojokerto,Candi Brahu
1023,Kabupaten Mojokerto,Candi Tikus
1024,Kabupaten Mojokerto,Makam Troloyo
1025,Kabupaten Mojokerto,Museum Trowulan
1026,Kabupaten Mojokerto,Petirtaan Jolotundo
1027,Kabupaten Mojokerto,Siti Inggil
1028,Kabupaten Mojokerto,Eko wisata Kampung Organik Brenjonk
1029,Kabupaten Mojokerto,Desa Wisata Terpadu Kebontunggal Lembah Mbencirang
1030,Kabupaten Mojokerto,Desa Wisata Sendi
1031,Kabupaten Mojokerto,Desa Wisata Bejijong
1032,Kabupaten Mojokerto,Desa Wisata Claket Indah
1033,Kabupaten Mojokerto,Desa Wisata Jatipasar
1034,Kabupaten Mojokerto,Desa Wisata Sentonorejo
1035,Kabupaten Mojokerto,Desa Wisata Jembul
1036,Kabupaten Mojokerto,Desa Wisata Randu Genengan
1037,Kabupaten Mojokerto,Desa Wisata Seloliman
1038,Kabupaten Mojokerto,Desa Wisata Dlundung
1039,Kabupaten Nganjuk,Air Terjun Sedudo
1040,Kabupaten Nganjuk,Goa Margo Tresno
1041,Kabupaten Nganjuk,Roro Kuning
1042,Kabupaten Nganjuk,Monumen Dr. Soetomo
1043,Kabupaten Nganjuk,Monumen Jendral Sudirman
1044,Kabupaten Nganjuk,Sri Tanjung Wisata Tirta
1045,Kabupaten Nganjuk,Taman Rekreasi Anjuk Ladang
1046,Kabupaten Nganjuk,Candi Banjarsari
1047,Kabupaten Nganjuk,Candi Lor
1048,Kabupaten Nganjuk,Candi Ngetos
1049,Kabupaten Nganjuk,Makam Dermojoyo
1050,Kabupaten Nganjuk,Makam Kanjeng Jimat
1051,Kabupaten Nganjuk,Makam Ki Ageng Aliman
1052,Kabupaten Nganjuk,Makam Malik Al Atos
1053,Kabupaten Nganjuk,Makam Mangundikoro
1054,Kabupaten Nganjuk,Makam Nduro
1055,Kabupaten Nganjuk,Makam Pakuncen
1056,Kabupaten Nganjuk,Makam Syech Syuluqi
1057,Kabupaten Nganjuk,Masjid Al Mubarok
1058,Kabupaten Nganjuk,Musium Anjuk Ladang
1059,Kabupaten Nganjuk,Padepokan Langen Tayub
1060,Kabupaten Nganjuk,Prasasti Bangle
1061,Kabupaten Nganjuk,Situs Condrogeni
1062,Kabupaten Nganjuk,Desa Wisata Kweden River Park
1063,Kabupaten Nganjuk,Desa Wisata Margopatut
1064,Kabupaten Nganjuk,Desa Wisata Ngetos
1065,Kabupaten Nganjuk,Desa Wisata Bareng (Bukit Surga)
1066,Kabupaten Nganjuk,Desa Wisata Ngliman
1067,Kabupaten Nganjuk,Desa Wisata Bajulan
1068,Kabupaten Nganjuk,Desa Wisata Sumberkepuh
1069,Kabupaten Nganjuk,Desa Wisata Betet
1070,Kabupaten Nganjuk,Desa Sumbermiri
1071,Kabupaten Nganjuk,Desa Blongko
1072,Kabupaten Nganjuk,Desa Bagor Kulon
1073,Kabupaten Nganjuk,Desa Pakuncen Wisata Religi
1074,Kabupaten Nganjuk,Desa Jekek
1075,Kabupaten Nganjuk,Desa Wisata Bendoasri
1076,Kabupaten Nganjuk,Desa Wisata Malangsari (Kuliner Kali Badug)
1077,Kabupaten Nganjuk,Desa Wisata Balonggebang
1078,Kabupaten Nganjuk,Desa Wisata Sugihwaras
1079,Kabupaten Nganjuk,Desa Wisata Ngluyu
1080,Kabupaten Nganjuk,Desa Wisata Gondang Wetan (Air Panas)
1081,Kabupaten Nganjuk,Desa Wisata Perning
1082,Kabupaten Nganjuk,Desa Wisata Kepel
1083,Kabupaten Nganjuk,Kampung Tanjunganom
1084,Kabupaten Ngawi,Air Terjun Pengantin
1085,Kabupaten Ngawi,Perkebunan Teh Jamus
1086,Kabupaten Ngawi,Watu Jonggol
1087,Kabupaten Ngawi,Adess Poll
1088,Kabupaten Ngawi,Argo Munung
1089,Kabupaten Ngawi,Embung Pandeyan
